HD,city,state,LO,city,state,address,city,store,time,url,zipcode,STATE,STATENS,STATE_NAME,STUSAB,NAME,population,under44_1,under44_2,under44_3,older65_1,older_65_2,income_per_capita,industrial_managers,construction_managers,farmers,realestate,construction_workers,state:1,place
1,Ellisville,29,,,,37 Ellisville Towne Ctre,Ellisville,HD,1597100502.13291,https://www.homedepot.com/,63011,29,1779791,Missouri,MO,"Ellisville city, Missouri",9581,600,947,1111,971,1135,43960,,,,,,29,21898
1,Ellsworth,23,,,,56 Myrick Street,Ellsworth,HD,1597100420.97994,https://www.homedepot.com/,4605,23,1779787,Maine,ME,"Ellsworth city, Maine",7960,443,1046,935,930,694,30659,,,,,,23,23200
1,Elmont,36,,,,600 Hempstead Turnpike,Elmont,HD,1597100601.75142,https://www.homedepot.com/,11003,36,1779796,New York,NY,"Elmont CDP, New York",36028,3739,4741,4691,2959,2026,32369,,,,,,36,24273
1,Elyria,39,,,,150 Market Drive,Elyria,HD,1597100652.89616,https://www.homedepot.com/,44035,39,1085497,Ohio,OH,"Elyria city, Ohio",53910,5410,6938,6219,4758,3447,23959,,,,,,39,25256
1,Emeryville,6,,,,3838 Hollis Avenue,Emeryville,HD,1597100307.60559,https://www.homedepot.com/,94608,6,1779778,California,CA,"Emeryville city, California",11724,907,3827,2160,870,708,66046,,,,,,6,22594
1,Encinitas,6,,,,1001 N El Camino Real,Encinitas,HD,1597100307.65244,https://www.homedepot.com/,92024,6,1779778,California,CA,"Encinitas city, California",62713,3421,7785,8729,6626,4498,62251,,,,,,6,22678
1,Enfield,9,,,,136 Elm Street,Enfield,HD,1597100325.41374,https://www.homedepot.com/,6082,9,1779780,Connecticut,CT,,,,,,,,,,,,,,,
1,Erie,42,2,Erie,42,7451 Peach Street,Erie,HD,1597100727.56804,https://www.homedepot.com/,16509,42,1779798,Pennsylvania,PA,"Erie city, Pennsylvania",98156,11296,15491,10500,7602,6276,20954,,,,,,42,24000
2,Escondido,6,1,Escondido,6,620,Escondido,LOW,1597172274.49824,https://www.lowes.com/,92025,6,1779778,California,CA,"Escondido city, California",151115,15864,25663,18835,9744,7888,26766,,,,,,6,22804
1,Euclid,39,,,,877 E 200th St,Euclid,HD,1597100652.95579,https://www.homedepot.com/,44119,39,1085497,Ohio,OH,"South Euclid city, Ohio",21688,2642,2701,2534,2138,1274,29156,,,,,,39,73264
2,Eugene,41,1,Eugene,41,Bailey Hill Road,Eugene,LOW,1597173384.69261,https://www.lowes.com/,97402,41,1155107,Oregon,OR,"Eugene city, Oregon",165997,31416,24121,19854,15317,10327,29306,,,,,,41,23850
1,Euless,48,1,Euless,48,3000,Euless,LOW,1597173620.14675,https://www.lowes.com/,76039,48,1779801,Texas,TX,"Euless city, Texas",55047,3799,10240,8127,3392,1993,32810,,,,,,48,24768
1,Evans,13,,,,520 N Belair Road,Evans,HD,1597100353.78541,https://www.homedepot.com/,30809,13,1705317,Georgia,GA,"Evans CDP, Georgia",34379,3117,3912,4440,2903,1792,37770,,,,,,13,28044
1,Evanston,17,,,,2201 Oakton Street,Evanston,HD,1597100377.87172,https://www.homedepot.com/,60202,17,1779784,Illinois,IL,"Evanston city, Illinois",75157,12080,9327,9494,6586,4463,49263,,,,,,17,24582
2,Evansville,18,,,,5230 Pearl Drive,Evansville,HD,1597100388.50889,https://www.homedepot.com/,47712,18,448508,Indiana,IN,"Evansville city, Indiana",118952,11516,19101,14157,10057,8694,23714,,,,,,18,22000
1,Everett,25,,,,3 Mystic View Rd,Everett,HD,1597100444.44036,https://www.homedepot.com/,2149,25,606926,Massachusetts,MA,"Everett city, Massachusetts",45856,4181,7965,6693,2896,1897,26591,,,,,,25,21990
1,Everett,53,1,Everett,53,2505,Everett,LOW,1597173771.01078,https://www.lowes.com/,98201,53,1779804,Washington,WA,"Everett city, Washington",108941,10819,19341,14306,7471,5420,30670,,,,,,53,22640
1,Evergreen,8,,,,1014 El Rancho Road,Evergreen,HD,1597100319.65282,https://www.homedepot.com/,80439,8,1779779,Colorado,CO,"Evergreen CDP, Colorado",8602,390,689,995,1176,473,57076,,,,,,8,25390
1,Ewing,34,,,,1621 N Olden Avenue,Ewing,HD,1597100548.87325,https://www.homedepot.com/,8638,34,1779795,New Jersey,NJ,,,,,,,,,,,,,,,
1,Fairbanks,2,1,Fairbanks,2,Herb Miller Boulevard,Fairbanks,LOW,1597172140.92542,https://www.lowes.com/,99701-6161,2,1785533,Alaska,AK,"Fairbanks city, Alaska",31677,5950,6346,3392,1533,1045,30457,,,,,,2,24230
1,Fairborn,39,,,,3775 Presidential Drive,Fairborn,HD,1597100651.80236,https://www.homedepot.com/,45324,39,1085497,Ohio,OH,"Fairborn city, Ohio",33433,4545,6291,4040,2638,2106,26659,,,,,,39,25914
3,Fairfax,51,1,Fairfax,51,3201 Old Lee Highway,Fairfax,HD,1597100870.02918,https://www.homedepot.com/,22030,51,1779803,Virginia,VA,"Rose Hill CDP (Fairfax County), Virginia",22011,1846,2694,3354,1756,1283,48412,,,,,,51,68880
1,Fairfield,1,,,,6405 Flintridge Drive,Fairfield,HD,1597100287.21702,https://www.homedepot.com/,35064,1,1779775,Alabama,AL,"Fairfield city, Alabama",10790,1573,1298,1374,1114,622,19874,,,,,,1,25120
1,Fairfield,6,1,Fairfield,6,2121 Cadenasso Dr,Fairfield,HD,1597100307.77025,https://www.homedepot.com/,94533,6,1779778,California,CA,"Fairfield city, California",114101,10815,17362,14435,8229,5578,33449,,,,,,6,23182
1,Fairfield,9,,,,541 Kings Hwy Cut-Off,Fairfield,HD,1597100325.45304,https://www.homedepot.com/,6824,9,1779780,Connecticut,CT,,,,,,,,,,,,,,,
1,Fairlawn,39,,,,4066 Medina Rd,Fairlawn,HD,1597100653.02116,https://www.homedepot.com/,44333,39,1085497,Ohio,OH,"Fairlawn city, Ohio",7522,335,912,1043,810,993,41348,,,,,,39,26166
1,Fairless Hills,42,,,,400 Commerce Blvd,Fairless Hills,HD,1597100729.16582,https://www.homedepot.com/,19030,42,1779798,Pennsylvania,PA,"Fairless Hills CDP, Pennsylvania",8376,727,956,1220,728,419,32814,,,,,,42,24712
1,Falls Church,51,,,,6210 Seven Corners Ctr,Falls Church,HD,1597100870.09911,https://www.homedepot.com/,22044,51,1779803,Virginia,VA,"West Falls Church CDP, Virginia",29154,2355,4927,5266,2093,1166,46442,,,,,,51,84368
1,Fargo,38,1,Fargo,38,4700 17th Avenue Sw,Fargo,HD,1597100626.09115,https://www.homedepot.com/,58103,38,1779797,North Dakota,ND,"Fargo city, North Dakota",120209,21814,22541,14070,7405,6235,33985,,,,,,38,25700
1,Farmingdale,36,1,Farmingdale,36,Price Parkway,Farmingdale,LOW,1597173268.91373,https://www.lowes.com/,11735,36,1779796,New York,NY,"East Farmingdale CDP, New York",6143,903,1092,563,346,363,36731,,,,,,36,21985
1,Farmington,35,1,Farmington,35,Pinon Hills Boulevard,Farmington,LOW,1597173209.21522,https://www.lowes.com/,87402,35,897535,New Mexico,NM,"Farmington city, New Mexico",45582,4304,6567,6265,3077,2643,27552,,,,,,35,25800
1,Farmington Hills,26,,,,32525 Northwestern Hwy,Farmington Hills,HD,1597100467.53515,https://www.homedepot.com/,48334,26,1779789,Michigan,MI,"Farmington Hills city, Michigan",81482,6097,10645,9625,8831,6937,44789,,,,,,26,27440
1,Fayetteville,13,1,Fayetteville,13,Banks Crossing,Fayetteville,LOW,1597172499.2636,https://www.lowes.com/,30214,13,1705317,Georgia,GA,"Fayetteville city, Georgia",17349,1253,2233,2068,1790,1380,33812,,,,,,13,28968
1,Fayetteville,37,3,Fayetteville,37,McArthur Road,Fayetteville,LOW,1597173048.39602,https://www.lowes.com/,28311,37,1027616,North Carolina,NC,"Fayetteville city, North Carolina",209867,32893,38820,23130,13847,10105,24336,,,,,,37,22920
1,Fayetteville,5,2,Fayetteville,5,675 E Joyce Blvd,Fayetteville,HD,1597100298.17675,https://www.homedepot.com/,72703,5,68085,Arkansas,AR,"Fayetteville city, Arkansas",83736,22431,14628,9219,4242,3342,29436,,,,,,5,23290
1,Federal Way,53,1,Federal Way,53,35425,Federal Way,LOW,1597173771.50355,https://www.lowes.com/,98003,53,1779804,Washington,WA,"Federal Way city, Washington",96110,9535,14487,11719,7414,4834,31438,,,,,,53,23515
1,Fenton,26,,,,15255 Silver Pkwy,Fenton,HD,1597100467.58252,https://www.homedepot.com/,48430,26,1779789,Michigan,MI,"Lake Fenton CDP, Michigan",5331,278,462,729,653,501,44722,,,,,,26,44520
1,Fergus Falls,27,,,,2025 Lincoln Avenue West,Fergus Falls,HD,1597100484.65746,https://www.homedepot.com/,56537,27,662849,Minnesota,MN,"Fergus Falls city, Minnesota",13647,1168,1877,1223,1482,1870,28900,,,,,,27,20906
1,Festus,29,,,,1131 W Gannon,Festus,HD,1597100502.2577,https://www.homedepot.com/,63028,29,1779791,Missouri,MO,"Festus city, Missouri",11970,964,1682,1607,989,815,26055,,,,,,29,24094
1,Firestone,8,,,,10858 Jake Jabs Blvd,Firestone,HD,1597100319.68432,https://www.homedepot.com/,80504,8,1779779,Colorado,CO,"Firestone town, Colorado",13109,678,1877,2217,844,368,35029,,,,,,8,26600
1,Fishkill,36,,,,450 State Route 9,Fishkill,HD,1597100601.86947,https://www.homedepot.com/,12524,36,1779796,New York,NY,"Fishkill village, New York",1957,147,227,322,105,212,42417,,,,,,36,25967
2,Flagstaff,4,,,,5005 Marketplace Dr #110,Flagstaff,HD,1597100294.25573,https://www.homedepot.com/,86004,4,1779777,Arizona,AZ,"Flagstaff city, Arizona",71202,22598,10691,6689,3825,2109,26285,,,,,,4,23620
1,Flemington,34,,,,244 Highway 202,Flemington,HD,1597100550.76306,https://www.homedepot.com/,8822,34,1779795,New Jersey,NJ,"Flemington borough, New Jersey",4624,410,793,766,351,233,30986,,,,,,34,23700
2,Flint,26,,,,4380 W Corunna Rd,Flint,HD,1597100469.69464,https://www.homedepot.com/,48532,26,1779789,Michigan,MI,"Flint city, Michigan",97161,10907,12976,11245,7230,4920,16013,,,,,,26,29000
1,Florence,1,1,Florence,1,351 Seville Street,Florence,HD,1597100287.25395,https://www.homedepot.com/,35630,1,1779775,Alabama,AL,"Florence city, Alabama",40104,6636,5537,4179,3680,3593,24542,,,,,,1,26896
1,Florence,21,1,Florence,21,Beam Boulevard,Florence,LOW,1597172711.32544,https://www.lowes.com/,41018,21,1779786,Kentucky,KY,"Florence city, Kentucky",31940,2752,5075,3966,2836,2355,30856,,,,,,21,27982
1,Florence,45,2,Florence,45,3051 West Radio Drive,Florence,HD,1597100748.68251,https://www.homedepot.com/,29501,45,1779799,South Carolina,SC,"Florence city, South Carolina",37802,3111,5128,4443,3754,2601,30482,,,,,,45,25810
1,Florida City,12,,,,33001 South Dixie Hwy,Florida City,HD,1597100341.49187,https://www.homedepot.com/,33034,12,294478,Florida,FL,"Florida City city, Florida",12096,1169,2038,1541,648,239,10562,,,,,,12,22975
1,Florissant,29,,,,13915 New Halls Ferry Rd,Florissant,HD,1597100502.32668,https://www.homedepot.com/,63033,29,1779791,Missouri,MO,"Florissant city, Missouri",51744,3981,7764,6241,3321,3646,25212,,,,,,29,24778
1,Flower Mound,48,1,Flower Mound,48,Justin Road,Flower Mound,LOW,1597173620.64795,https://www.lowes.com/,75077,48,1779801,Texas,TX,"Flower Mound town, Texas",73252,4911,6570,10836,4618,2034,52991,,,,,,48,26232
1,Flowery Branch,13,,,,5851 Spout Springs Rd,Flowery Branch,HD,1597100355.21433,https://www.homedepot.com/,30542,13,1705317,Georgia,GA,"Flowery Branch city, Georgia",7151,505,1216,1083,515,341,32348,,,,,,13,30340
1,Flushing,26,,,,5300 Pierson Road,Flushing,HD,1597100468.46826,https://www.homedepot.com/,48433,26,1779789,Michigan,MI,"Flushing city, Michigan",8012,566,746,829,978,974,28647,,,,,,26,29200
2,Flushing,36,,,,131-35 Avery Avenue,Flushing,HD,1597100601.9307,https://www.homedepot.com/,11355,36,1779796,New York,NY,,,,,,,,,,,,,,,
1,Foley,1,1,Foley,1,County Road 20,Foley,LOW,1597172170.81444,https://www.lowes.com/,36535,1,1779775,Alabama,AL,"Foley city, Alabama",17818,1176,2271,1817,2257,2410,25868,,,,,,1,26992
1,Folsom,42,,,,300 Macdade Blvd,Folsom,HD,1597100729.65823,https://www.homedepot.com/,19033,42,1779798,Pennsylvania,PA,"Folsom CDP, Pennsylvania",8707,593,1490,1144,443,536,34982,,,,,,42,26432
1,Folsom,6,1,Folsom,6,2675 E Bidwell St,Folsom,HD,1597100307.86961,https://www.homedepot.com/,95630,6,1779778,California,CA,"Folsom city, California",77007,4690,8455,11746,5933,4040,45378,,,,,,6,24638
2,Fontana,6,,,,16783 Santa Ana Ave,Fontana,HD,1597100311.81562,https://www.homedepot.com/,92337,6,1779778,California,CA,"Fontana city, California",208943,25609,31835,29944,9940,5316,22857,,,,,,6,24680
1,Forest Lake,27,,,,1943 W Broadway Avenue,Forest Lake,HD,1597100484.70724,https://www.homedepot.com/,55025,27,662849,Minnesota,MN,"Forest Lake city, Minnesota",19643,2030,2231,2580,1677,998,36089,,,,,,27,21770
1,Forked River,34,,,,244 N Main Street,Forked River,HD,1597100548.93189,https://www.homedepot.com/,8731,34,1779795,New Jersey,NJ,"Forked River CDP, New Jersey",4701,300,471,391,663,331,41462,,,,,,34,24180
2,Fort Collins,8,1,Fort Collins,8,4502 John F Kennedy Pkwy,Fort Collins,HD,1597100319.71679,https://www.homedepot.com/,80525,8,1779779,Colorado,CO,"Fort Collins city, Colorado",162511,37229,27693,19285,9854,6861,32440,,,,,,8,27425
1,Fort Gratiot,26,1,Fort Gratiot,26,Greenview Circle,Fort Gratiot,LOW,1597172886.69721,https://www.lowes.com/,48059,26,1779789,Michigan,MI,,,,,,,,,,,,,,,
1,Fort Lauderdale,12,,,,1000 Northeast 4th Ave,Fort Lauderdale,HD,1597100341.13826,https://www.homedepot.com/,33304,12,294478,Florida,FL,"Fort Lauderdale city, Florida",178783,11248,28559,22045,18643,12643,41887,,,,,,12,24000
2,Fort Myers,12,,,,3402 Forum Blvd,Fort Myers,HD,1597100341.61564,https://www.homedepot.com/,33905,12,294478,Florida,FL,"Fort Myers city, Florida",76591,6320,11594,8700,9573,6382,28395,,,,,,12,24125
1,Fort Oglethorpe,13,,,,2055 Battlefield Pkwy,Fort Oglethorpe,HD,1597100355.25448,https://www.homedepot.com/,30742,13,1705317,Georgia,GA,"Fort Oglethorpe city, Georgia",9852,611,1425,1165,1152,1000,23526,,,,,,13,30956
1,Fort Pierce,12,,,,5880 Okeechobee Rd,Fort Pierce,HD,1597100341.66125,https://www.homedepot.com/,34947,12,294478,Florida,FL,"Fort Pierce North CDP, Florida",7070,558,1107,623,764,497,15729,,,,,,12,24337
1,Fort Smith,5,1,Fort Smith,5,South 81st Street,Fort Smith,LOW,1597172198.07163,https://www.lowes.com/,72903,5,68085,Arkansas,AR,"Fort Smith city, Arkansas",87639,9053,11999,11141,7302,5126,25049,,,,,,5,24550
1,Fort Walton Beach,12,,,,414b Mary Esther Blvd Nw,Fort Walton Beach,HD,1597100341.70691,https://www.homedepot.com/,32548,12,294478,Florida,FL,"Fort Walton Beach city, Florida",21845,1866,3492,2286,2148,1826,28923,,,,,,12,24475
1,Fort Wayne,18,3,Fort Wayne,18,West Ludwig Road,Fort Wayne,LOW,1597172654.22764,https://www.lowes.com/,46818,18,448508,Indiana,IN,"Fort Wayne city, Indiana",264052,26369,38667,32216,21568,14479,26213,,,,,,18,25000
4,Fort Worth,48,2,Fort Worth,48,7950 South Fwy,Fort Worth,HD,1597100824.64254,https://www.homedepot.com/,76134,48,1779801,Texas,TX,"Fort Worth city, Texas",855786,85015,138584,119626,49548,32410,28330,,,,,,48,27000
1,Frankfort,17,,,,20101 Lagrange Road,Frankfort,HD,1597100377.95112,https://www.homedepot.com/,60423,17,1779784,Illinois,IL,"Frankfort Square CDP, Illinois",8638,826,1012,923,536,190,36702,,,,,,17,27644
1,Franklin,42,,,,6874 Us 322,Franklin,HD,1597100729.06364,https://www.homedepot.com/,16323,42,1779798,Pennsylvania,PA,"Franklintown borough, Pennsylvania",423,40,114,54,13,15,31471,,,,,,42,27576
1,Franklin,47,1,Franklin,47,I 65,Franklin,LOW,1597173565.39416,https://www.lowes.com/,37067,47,1325873,Tennessee,TN,"Franklin city, Tennessee",75366,6472,9025,10740,5175,4131,46470,,,,,,47,27740
1,Franklin,55,1,Franklin,55,7027,Franklin,LOW,1597173810.69245,https://www.lowes.com/,53132,55,1779806,Wisconsin,WI,"Franklin city, Wisconsin",36185,2348,4388,4709,3570,2638,40163,,,,,,55,27300
1,Frazer,42,,,,690 Lancaster Pike,Frazer,HD,1597100727.28707,https://www.homedepot.com/,19355,42,1779798,Pennsylvania,PA,,,,,,,,,,,,,,,
2,Frederick,24,2,Frederick,24,7850,Frederick,LOW,1597172826.81375,https://www.lowes.com/,21701,24,1714934,Maryland,MD,"Frederick city, Maryland",70166,6734,12008,9577,4956,3646,35051,,,,,,24,30325
2,Fredericksburg,51,,,,5771 Plank Road,Fredericksburg,HD,1597100872.05467,https://www.homedepot.com/,22407,51,1779803,Virginia,VA,"Fredericksburg city, Virginia",28469,5449,4913,3385,1807,1216,34722,,,,,,51,29744
1,Freehold,34,,,,300 Trotters Way,Freehold,HD,1597100548.98447,https://www.homedepot.com/,7728,34,1779795,New Jersey,NJ,"East Freehold CDP, New Jersey",4749,612,338,501,453,221,51376,,,,,,34,19150
1,Freeport,36,,,,160 E. Sunrise Hwy,Freeport,HD,1597100601.98712,https://www.homedepot.com/,11520,36,1779796,New York,NY,"Freeport village, New York",43128,4530,5338,5573,3797,2921,32373,,,,,,36,27485
1,Fremont,6,1,Fremont,6,Curie Street,Fremont,LOW,1597172278.27918,https://www.lowes.com/,94538,6,1779778,California,CA,"Fremont city, California",233083,14544,36749,38956,15704,12522,49529,,,,,,6,26000
3,Fresno,6,1,Fresno,6,San Pablo Avenue,Fresno,LOW,1597172278.77722,https://www.lowes.com/,93650,6,1779778,California,CA,"Fresno city, California",522277,58217,84799,63988,32652,24133,22277,,,,,,6,27000
1,Fridley,27,,,,"5650 Main St, Ne",Fridley,HD,1597100484.75751,https://www.homedepot.com/,55432,27,662849,Minnesota,MN,"Fridley city, Minnesota",27614,2556,4726,3233,2247,1806,29293,,,,,,27,22814
1,Frisco,48,1,Frisco,48,Ohio Drive,Frisco,LOW,1597173622.15172,https://www.lowes.com/,75024,48,1779801,Texas,TX,"Frisco city, Texas",165700,10112,15415,33295,8456,4317,52378,,,,,,48,27684
1,Fullerton,6,,,,625 South Placentia Ave,Fullerton,HD,1597100307.96487,https://www.homedepot.com/,92831,6,1779778,California,CA,"Fullerton city, California",139866,17657,21183,17563,9461,8768,34296,,,,,,6,28000
1,Fuquay Varina,37,,,,901 E Broad Street,Fuquay Varina,HD,1597100620.31179,https://www.homedepot.com/,27526,37,1027616,North Carolina,NC,,,,,,,,,,,,,,,
2,Gainesville,12,2,Gainesville,12,Windmeadows Boulevard,Gainesville,LOW,1597172438.11788,https://www.lowes.com/,32608,12,294478,Florida,FL,"Gainesville city, Florida",130790,44592,23208,11560,7737,5662,22388,,,,,,12,25175
1,Gainesville,13,1,Gainesville,13,924 Dawsonville Hwy,Gainesville,HD,1597100355.30088,https://www.homedepot.com/,30501,13,1705317,Georgia,GA,"Gainesville city, Georgia",38624,4621,5619,5084,2815,2324,22826,,,,,,13,31908
1,Gainesville,48,,,,804 E Hwy 82,Gainesville,HD,1597100818.33621,https://www.homedepot.com/,76240,48,1779801,Texas,TX,"Gainesville city, Texas",16275,1803,2258,1713,1193,1065,21000,,,,,,48,27984
1,Gaithersburg,24,1,Gaithersburg,24,40,Gaithersburg,LOW,1597172827.29088,https://www.lowes.com/,20878,24,1714934,Maryland,MD,"Gaithersburg city, Maryland",67529,5853,11075,9631,4391,3361,42064,,,,,,24,31175
1,Gallup,35,,,,530 Kachina Street,Gallup,HD,1597100557.00087,https://www.homedepot.com/,87301,35,897535,New Mexico,NM,"Gallup city, New Mexico",22105,1762,3332,2271,1623,1220,21839,,,,,,35,28460
1,Galveston,48,,,,702 65th Street,Galveston,HD,1597100818.40211,https://www.homedepot.com/,77551,48,1779801,Texas,TX,"Galveston city, Texas",50039,6344,7877,5893,4809,2948,29733,,,,,,48,28068
1,Garden City,20,,,,3110 E Kansas Ave,Garden City,HD,1597100400.55834,https://www.homedepot.com/,67846,20,481813,Kansas,KS,"Garden City city, Kansas",26806,2946,4005,2892,1659,1222,23591,,,,,,20,25325
1,Garden Grove,6,,,,10801 Garden Grove Blvd,Garden Grove,HD,1597100308.00774,https://www.homedepot.com/,92843,6,1779778,California,CA,"Garden Grove city, California",174010,17357,24336,23401,13145,10174,24520,,,,,,6,29000
1,Gardena,6,,,,740 182nd Street,Gardena,HD,1597100308.03714,https://www.homedepot.com/,90248,6,1779778,California,CA,"Gardena city, California",59924,4759,8088,8586,5249,4459,26431,,,,,,6,28168
2,Garland,48,1,Garland,48,3261 N George Bush Hwy,Garland,HD,1597100818.46928,https://www.homedepot.com/,75040,48,1779801,Texas,TX,"Garland city, Texas",237982,22948,33253,30745,17000,10253,24313,,,,,,48,29000
1,Garner,37,,,,2540 Timber Dr,Garner,HD,1597100620.38343,https://www.homedepot.com/,27529,37,1027616,North Carolina,NC,"Garner town, North Carolina",28731,2367,4714,3198,2530,1592,31583,,,,,,37,25480
1,Garwood,34,,,,200 South Ave,Garwood,HD,1597100551.34863,https://www.homedepot.com/,7027,34,1779795,New Jersey,NJ,"Garwood borough, New Jersey",4334,373,608,662,355,252,46740,,,,,,34,25800
1,Gastonia,37,1,Gastonia,37,East Franklin Boulevard,Gastonia,LOW,1597173050.56718,https://www.lowes.com/,28506,37,1027616,North Carolina,NC,"Gastonia city, North Carolina",75138,5668,10352,9077,6626,5070,26137,,,,,,37,25580
1,Gaylord,26,,,,1381 W Main Street,Gaylord,HD,1597100467.63131,https://www.homedepot.com/,49735,26,1779789,Michigan,MI,"Gaylord city, Michigan",3667,371,557,289,451,412,22065,,,,,,26,31720
1,Geneva,17,,,,2111 S Randall Rd,Geneva,HD,1597100378.03253,https://www.homedepot.com/,60134,17,1779784,Illinois,IL,"Geneva city, Illinois",21799,1479,2089,2805,1694,1681,52559,,,,,,17,28872
1,Georgetown,48,,,,1303 Rivery Blvd,Georgetown,HD,1597100818.53825,https://www.homedepot.com/,78628,48,1779801,Texas,TX,"Georgetown city, Texas",66804,5038,6653,7724,10741,8901,37705,,,,,,48,29336
1,Germantown,24,,,,21010 Frederick Rd,Germantown,HD,1597100430.94371,https://www.homedepot.com/,20876,24,1714934,Maryland,MD,"Germantown CDP, Maryland",90844,7736,13406,13816,4799,2575,40171,,,,,,24,32025
1,Gig Harbor,53,,,,5120 Borgen Blvd,Gig Harbor,HD,1597100894.73019,https://www.homedepot.com/,98332,53,1779804,Washington,WA,"Gig Harbor city, Washington",9382,529,846,1412,1136,1067,49265,,,,,,53,26735
1,Gilbert,4,2,Gilbert,4,East Queen Creek Road,Gilbert,LOW,1597172223.11921,https://www.lowes.com/,85297,4,1779777,Arizona,AZ,"Gilbert town, Arizona",237484,18672,32091,36863,14235,7263,35710,,,,,,4,27400
1,Gillette,56,,,,1105 E Boxelder Road,Gillette,HD,1597100934.38671,https://www.homedepot.com/,82718,56,1779807,Wyoming,WY,"Gillette city, Wyoming",33056,3132,5670,4451,1345,1010,30264,,,,,,56,31855
1,Gilroy,6,1,Gilroy,6,Lowes Loading,Gilroy,LOW,1597172279.26324,https://www.lowes.com/,95020-3609,6,1779778,California,CA,"Gilroy city, California",55525,4881,6951,8012,3534,2410,34531,,,,,,6,29504
1,Gladstone,29,,,,4949 Old Pike Rd,Gladstone,HD,1597100502.37739,https://www.homedepot.com/,64118,29,1779791,Missouri,MO,"Gladstone city, Missouri",26995,2391,4137,3223,2696,2117,30953,,,,,,29,27190
1,Glastonbury,9,,,,115 Putnam Blvd,Glastonbury,HD,1597100325.49456,https://www.homedepot.com/,6033,9,1779780,Connecticut,CT,"Glastonbury Center CDP, Connecticut",7742,573,675,1226,858,752,47679,,,,,,9,31270
1,Glen Allen,51,,,,11260 W Broad St,Glen Allen,HD,1597100871.50453,https://www.homedepot.com/,23060,51,1779803,Virginia,VA,"Glen Allen CDP, Virginia",16454,1025,2346,2231,1524,649,37986,,,,,,51,31200
2,Glen Burnie,24,,,,66 Mountain Rd,Glen Burnie,HD,1597100431.53543,https://www.homedepot.com/,21060,24,1714934,Maryland,MD,"Glen Burnie CDP, Maryland",69813,6655,11350,9415,5678,3517,32080,,,,,,24,32650
1,Glen Mills,42,,,,200 Hatton Drive,Glen Mills,HD,1597100727.00373,https://www.homedepot.com/,19342,42,1779798,Pennsylvania,PA,,,,,,,,,,,,,,,
1,Glendale,36,,,,75-09 Woodhaven Blvd,Glendale,HD,1597100605.82758,https://www.homedepot.com/,11385,36,1779796,New York,NY,,,,,,,,,,,,,,,
3,Glendale,4,1,Glendale,4,6880 W Bell Rd,Glendale,HD,1597100295.50622,https://www.homedepot.com/,85308,4,1779777,Arizona,AZ,"Glendale city, Arizona",245514,25623,36670,30602,17267,10541,24586,,,,,,4,27820
1,Glendale,6,,,,5040 San Fernando Rd,Glendale,HD,1597100308.13812,https://www.homedepot.com/,91204,6,1779778,California,CA,"Glendale city, California",200372,15129,31909,26164,17739,16579,34900,,,,,,6,30000
1,Glendale,8,,,,860 S Colorado Blvd,Glendale,HD,1597100319.75078,https://www.homedepot.com/,80246,8,1779779,Colorado,CO,"Glendale city, Colorado",5170,764,2234,708,152,49,35951,,,,,,8,30340
1,Glendale Heights,17,,,,295 E Armytrail Rd,Glendale Heights,HD,1597100378.06989,https://www.homedepot.com/,60139,17,1779784,Illinois,IL,"Glendale Heights village, Illinois",34280,2822,6548,4587,2551,1106,26710,,,,,,17,29730
1,Glendora,6,,,,1305 S Lone Hill Avenue,Glendora,HD,1597100308.17237,https://www.homedepot.com/,91740,6,1779778,California,CA,"Glendora city, California",51773,3890,6358,6423,4723,3632,39413,,,,,,6,30014
1,Glenview,17,,,,2850 Patriot Boulevard,Glenview,HD,1597100378.15628,https://www.homedepot.com/,60026,17,1779784,Illinois,IL,"Glenview village, Illinois",47333,2056,3900,5073,5264,5150,61644,,,,,,17,29938
1,Gloucester,51,1,Gloucester,51,6921 Walton Lane,Gloucester,HD,1597100870.31371,https://www.homedepot.com/,23061,51,1779803,Virginia,VA,"Gloucester Point CDP, Virginia",9294,822,1198,815,1124,704,32400,,,,,,51,31616
1,Golden,8,,,,16900 W Colfax Ave,Golden,HD,1597100319.78849,https://www.homedepot.com/,80401,8,1779779,Colorado,CO,"Golden city, Colorado",20798,4523,3461,2629,1176,1070,36071,,,,,,8,30835
1,Goleta,6,,,,6975 Marketplace Dr,Goleta,HD,1597100308.20686,https://www.homedepot.com/,93117,6,1779778,California,CA,"Goleta city, California",30790,3860,4411,3838,2586,2577,39538,,,,,,6,30378
1,Gonzales,22,,,,2740 South Cajun Ave,Gonzales,HD,1597100413.61685,https://www.homedepot.com/,70737,22,1629543,Louisiana,LA,"Gonzales city, Louisiana",10677,782,1746,1385,1084,646,29263,,,,,,22,29850
1,Grafton,55,,,,1350 Port Washington Rd,Grafton,HD,1597100927.99762,https://www.homedepot.com/,53024,55,1779806,Wisconsin,WI,"Grafton village, Wisconsin",11627,929,1466,1605,1098,995,39186,,,,,,55,30000
1,Granbury,48,1,Granbury,48,Chaparral Lane,Granbury,LOW,1597173623.66246,https://www.lowes.com/,76048,48,1779801,Texas,TX,"Granbury city, Texas",9593,891,1236,524,1240,1674,33462,,,,,,48,30416
